FID,Field1,longitude,latitude
331,504,22.609999999999999,-33.990000000000002
332,236,23.539999999999999,-33.990000000000002
333,577,18.000000000000000,-34.000000000000000
334,189,18.430000000000000,-34.000000000000000
335,202,22.570000000000000,-34.000000000000000
336,395,22.579999999999998,-34.000000000000000
337,665,24.920000000000002,-34.000000000000000
338,512,18.449999999999999,-34.009999999999998
339,499,18.539999999999999,-34.009999999999998
340,274,25.690000000000001,-34.009999999999998
341,353,25.930000000000000,-34.009999999999998
342,174,18.449999999999999,-34.020000000000003
343,390,23.870000000000001,-34.020000000000003
344,472,23.899999999999999,-34.020000000000003
345,176,25.379999999999999,-34.020000000000003
346,164,25.390000000000001,-34.020000000000003
347,447,25.690000000000001,-34.020000000000003
348,385,18.460000000000001,-34.030000000000001
349,232,25.449999999999999,-34.030000000000001
350,302,25.480000000000000,-34.030000000000001
351,325,25.680000000000000,-34.030000000000001
352,152,25.699999999999999,-34.030000000000001
353,424,25.760000000000002,-34.030000000000001
354,169,18.289999999999999,-34.039999999999999
355,12,18.370000000000001,-34.039999999999999
356,251,18.420000000000002,-34.039999999999999
357,76,18.430000000000000,-34.039999999999999
358,419,18.539999999999999,-34.039999999999999
359,75,18.550000000000001,-34.039999999999999
360,92,18.789999999999999,-34.039999999999999
361,433,22.789999999999999,-34.039999999999999
362,71,22.820000000000000,-34.039999999999999
363,280,22.960000000000001,-34.039999999999999
364,463,23.039999999999999,-34.039999999999999
365,196,23.050000000000001,-34.039999999999999
366,133,23.370000000000001,-34.039999999999999
367,368,23.430000000000000,-34.039999999999999
368,440,23.440000000000001,-34.039999999999999
369,237,23.460000000000001,-34.039999999999999
370,377,23.870000000000001,-34.039999999999999
371,200,24.960000000000001,-34.039999999999999
372,143,25.370000000000001,-34.039999999999999
373,365,25.460000000000001,-34.039999999999999
374,309,25.539999999999999,-34.039999999999999
375,70,25.620000000000001,-34.039999999999999
376,96,25.710000000000001,-34.039999999999999
377,95,18.340000000000000,-34.049999999999997
378,297,18.350000000000001,-34.049999999999997
379,24,18.359999999999999,-34.049999999999997
380,73,18.579999999999998,-34.049999999999997
381,453,22.840000000000000,-34.049999999999997
382,98,22.859999999999999,-34.049999999999997
383,578,23.370000000000001,-34.049999999999997
384,138,23.379999999999999,-34.049999999999997
385,64,18.350000000000001,-34.060000000000002
386,501,18.500000000000000,-34.060000000000002
