FID,Field1,lon,lat
258,3028,-68.349999999999994,-54.840000000000003
259,3298,-68.359999999999999,-54.859999999999999
260,2534,-68.359999999999999,-54.840000000000003
261,2498,-68.370000000000005,-54.920000000000002
262,1919,-68.379999999999995,-54.890000000000001
263,2893,-68.379999999999995,-54.880000000000003
264,2486,-68.420000000000002,-54.869999999999997
265,2597,-68.469999999999999,-54.820000000000000
266,2984,-68.480000000000004,-54.899999999999999
267,2582,-68.480000000000004,-54.850000000000001
268,2497,-68.489999999999995,-54.920000000000002
269,2881,-68.519999999999996,-54.899999999999999
270,2417,-68.530000000000001,-54.859999999999999
271,2945,-68.549999999999997,-54.899999999999999
272,2191,-68.560000000000002,-54.850000000000001
273,2126,-68.560000000000002,-54.840000000000003
274,2583,-68.569999999999993,-54.899999999999999
275,2441,-68.569999999999993,-54.859999999999999
276,2187,-68.569999999999993,-54.850000000000001
277,2075,-68.579999999999998,-54.840000000000003
278,3281,-68.599999999999994,-54.909999999999997
279,2232,-68.680000000000007,-54.880000000000003
280,3061,-68.719999999999999,-56.479999999999997
281,2871,-68.719999999999999,-54.930000000000000
282,2195,-68.819999999999993,-54.840000000000003
283,31,-68.840000000000003,-54.969999999999999
284,2933,-68.909999999999997,-54.969999999999999
285,2567,-68.920000000000002,-54.969999999999999
286,2557,-68.959999999999994,-54.969999999999999
287,2947,-68.969999999999999,-54.979999999999997
288,2496,-68.989999999999995,-54.869999999999997
289,2435,-69.019999999999996,-54.460000000000001
290,1918,-69.019999999999996,-54.450000000000003
291,3225,-69.040000000000006,-54.990000000000002
292,3269,-69.069999999999993,-54.979999999999997
293,3056,-69.109999999999999,-54.979999999999997
294,2870,-69.109999999999999,-54.969999999999999
295,2934,-69.170000000000002,-54.950000000000003
296,1939,-69.180000000000007,-54.460000000000001
297,1940,-69.209999999999994,-54.450000000000003
298,1917,-69.250000000000000,-54.390000000000001
299,2251,-69.299999999999997,-54.570000000000000
300,3254,-69.310000000000002,-53.479999999999997
301,2757,-69.310000000000002,-53.460000000000001
302,2021,-69.420000000000002,-55.030000000000001
303,3293,-69.480000000000004,-54.310000000000002
304,3270,-69.489999999999995,-54.890000000000001
305,2867,-69.530000000000001,-54.890000000000001
306,1958,-69.599999999999994,-54.869999999999997
307,2503,-69.599999999999994,-54.780000000000001
308,2900,-69.609999999999999,-54.719999999999999
309,1938,-69.620000000000005,-54.409999999999997
310,3156,-69.629999999999995,-54.409999999999997
311,1942,-69.629999999999995,-54.390000000000001
312,1944,-69.650000000000006,-54.299999999999997
313,1943,-69.659999999999997,-54.310000000000002
314,3287,-69.680000000000007,-54.859999999999999
315,1946,-69.819999999999993,-54.479999999999997
316,1941,-69.840000000000003,-54.420000000000002
317,1945,-69.870000000000005,-54.289999999999999
318,2535,-69.930000000000007,-54.240000000000002
319,2460,-69.980000000000004,-54.750000000000000
320,2839,-70.019999999999996,-54.880000000000003
321,2526,-70.099999999999994,-54.159999999999997
322,1237,-70.140000000000001,-53.890000000000001
323,2541,-70.159999999999997,-53.890000000000001
324,1936,-70.209999999999994,-54.289999999999999
325,1905,-70.219999999999999,-54.969999999999999
326,1933,-70.260000000000005,-54.180000000000000
327,3074,-70.280000000000001,-54.509999999999998
328,3242,-70.280000000000001,-53.810000000000002
329,2150,-70.290000000000006,-54.899999999999999
330,2536,-70.290000000000006,-54.159999999999997
331,2189,-70.299999999999997,-54.159999999999997
332,2722,-70.329999999999998,-53.680000000000000
333,2814,-70.370000000000005,-53.299999999999997
334,2604,-70.430000000000007,-54.479999999999997
335,2559,-70.599999999999994,-54.930000000000000
336,2563,-70.629999999999995,-54.930000000000000
337,2817,-70.650000000000006,-54.210000000000001
338,2741,-70.659999999999997,-53.210000000000001
339,3277,-70.659999999999997,-52.979999999999997
340,1547,-70.680000000000007,-53.229999999999997
341,3272,-70.680000000000007,-52.969999999999999
342,1911,-70.689999999999998,-53.049999999999997
343,1739,-70.689999999999998,-52.969999999999999
344,3170,-70.700000000000003,-52.960000000000001
345,2794,-70.700000000000003,-52.950000000000003
346,1910,-70.709999999999994,-54.299999999999997
347,3229,-70.709999999999994,-53.009999999999998
348,2781,-70.709999999999994,-52.950000000000003
349,2778,-70.719999999999999,-53.189999999999998
350,3337,-70.719999999999999,-52.939999999999998
351,1520,-70.730000000000004,-53.250000000000000
352,2103,-70.730000000000004,-53.189999999999998
353,2540,-70.760000000000005,-53.070000000000000
354,3052,-70.769999999999996,-53.170000000000002
355,3228,-70.780000000000001,-53.049999999999997
356,1878,-70.799999999999997,-53.149999999999999
357,2798,-70.819999999999993,-52.979999999999997
358,2442,-70.829999999999998,-53.619999999999997
359,1240,-70.829999999999998,-53.030000000000001
360,2779,-70.840000000000003,-53.130000000000003
361,2199,-70.849999999999994,-53.640000000000001
362,2452,-70.849999999999994,-53.119999999999997
363,2795,-70.849999999999994,-53.060000000000002
364,1635,-70.859999999999999,-53.289999999999999
365,1363,-70.859999999999999,-53.130000000000003
366,1516,-70.859999999999999,-53.119999999999997
367,2155,-70.859999999999999,-53.079999999999998
368,2077,-70.859999999999999,-53.060000000000002
369,3271,-70.870000000000005,-53.100000000000001
370,1510,-70.879999999999995,-53.140000000000001
371,2864,-70.879999999999995,-53.130000000000003
372,2247,-70.879999999999995,-53.119999999999997
373,2531,-70.879999999999995,-53.109999999999999
374,1904,-70.890000000000001,-53.180000000000000
375,1735,-70.890000000000001,-53.159999999999997
376,2449,-70.900000000000006,-53.170000000000002
377,2892,-70.900000000000006,-53.159999999999997
378,1669,-70.909999999999997,-53.630000000000003
379,3070,-70.909999999999997,-53.170000000000002
380,3003,-70.920000000000002,-54.869999999999997
381,2098,-70.920000000000002,-54.259999999999998
382,2067,-70.920000000000002,-53.750000000000000
383,1535,-70.920000000000002,-53.180000000000000
384,2068,-70.930000000000007,-53.590000000000003
385,2527,-70.930000000000007,-53.579999999999998
386,1952,-70.939999999999998,-53.570000000000000
387,2076,-70.939999999999998,-53.549999999999997
388,2785,-70.939999999999998,-53.299999999999997
389,2292,-70.939999999999998,-53.270000000000003
390,2363,-70.939999999999998,-53.219999999999999
391,2281,-70.939999999999998,-53.200000000000003
392,2784,-70.950000000000003,-53.329999999999998
393,2343,-70.950000000000003,-53.259999999999998
394,1258,-70.950000000000003,-53.210000000000001
395,1920,-70.959999999999994,-54.109999999999999
396,1935,-70.959999999999994,-53.729999999999997
397,3088,-70.959999999999994,-53.609999999999999
398,1623,-70.959999999999994,-53.369999999999997
399,1527,-70.959999999999994,-53.340000000000003
400,1925,-70.969999999999999,-54.109999999999999
401,2446,-70.969999999999999,-53.759999999999998
402,1813,-70.980000000000004,-53.780000000000001
403,1812,-71.010000000000005,-53.810000000000002
404,3075,-71.069999999999993,-53.829999999999998
405,1934,-71.069999999999993,-53.820000000000000
406,3073,-71.079999999999998,-53.829999999999998
407,3234,-71.099999999999994,-54.000000000000000
408,2562,-71.150000000000006,-53.880000000000003
409,1811,-71.150000000000006,-53.859999999999999
410,2850,-71.170000000000002,-53.880000000000003
411,2847,-71.180000000000007,-53.880000000000003
412,3188,-71.250000000000000,-54.750000000000000
413,2680,-71.299999999999997,-29.930000000000000
414,3093,-71.349999999999994,-29.969999999999999
415,2846,-71.439999999999998,-53.869999999999997
416,2816,-71.450000000000003,-53.859999999999999
417,2502,-71.459999999999994,-32.579999999999998
418,2525,-71.489999999999995,-54.689999999999998
419,1766,-71.519999999999996,-32.780000000000001
420,3090,-71.519999999999996,-32.770000000000003
421,1741,-71.530000000000001,-32.770000000000003
422,3092,-71.569999999999993,-32.759999999999998
423,519,-71.569999999999993,-29.039999999999999
424,1725,-71.579999999999998,-32.770000000000003
425,3103,-71.609999999999999,-33.030000000000001
426,1777,-71.620000000000005,-33.039999999999999
427,3091,-71.620000000000005,-32.759999999999998
428,2398,-71.629999999999995,-33.039999999999999
429,1135,-71.629999999999995,-33.020000000000003
430,1817,-71.629999999999995,-30.250000000000000
431,2287,-71.650000000000006,-33.340000000000003
432,1743,-71.680000000000007,-33.030000000000001
433,2608,-71.739999999999995,-53.829999999999998
434,2063,-71.750000000000000,-53.789999999999999
435,2683,-71.780000000000001,-32.969999999999999
436,2845,-71.799999999999997,-53.780000000000001
437,1996,-71.829999999999998,-54.590000000000003
438,1179,-71.849999999999994,-33.939999999999998
439,1731,-71.950000000000003,-33.000000000000000
440,2844,-72.069999999999993,-53.710000000000001
441,2856,-72.099999999999994,-54.530000000000001
442,1538,-72.109999999999999,-53.740000000000002
443,1384,-72.109999999999999,-53.729999999999997
444,2810,-72.140000000000001,-53.799999999999997
445,2805,-72.150000000000006,-53.789999999999999
446,3072,-72.180000000000007,-53.829999999999998
447,2848,-72.189999999999998,-53.700000000000003
448,2843,-72.189999999999998,-53.670000000000002
449,2507,-72.200000000000003,-53.859999999999999
450,2804,-72.200000000000003,-53.659999999999997
451,2064,-72.209999999999994,-53.659999999999997
452,2083,-72.209999999999994,-53.649999999999999
453,2812,-72.239999999999995,-53.859999999999999
454,883,-72.239999999999995,-53.680000000000000
455,2849,-72.239999999999995,-53.659999999999997
456,2842,-72.250000000000000,-53.670000000000002
457,2066,-72.250000000000000,-53.659999999999997
458,1261,-72.260000000000005,-53.659999999999997
459,2811,-72.269999999999996,-53.859999999999999
460,1361,-72.269999999999996,-53.670000000000002
461,2806,-72.299999999999997,-53.859999999999999
462,2097,-72.319999999999993,-53.579999999999998
463,2065,-72.329999999999998,-53.579999999999998
464,466,-72.390000000000001,-53.640000000000001
465,2117,-72.390000000000001,-53.539999999999999
466,3214,-72.450000000000003,-42.009999999999998
467,2808,-72.459999999999994,-54.119999999999997
468,2172,-72.459999999999994,-41.969999999999999
469,2813,-72.469999999999999,-54.130000000000003
470,1860,-72.469999999999999,-41.969999999999999
471,2116,-72.480000000000004,-53.350000000000001
472,1682,-72.480000000000004,-42.210000000000001
473,2110,-72.480000000000004,-41.969999999999999
474,2218,-72.489999999999995,-41.969999999999999
475,2213,-72.500000000000000,-53.430000000000000
476,2859,-72.500000000000000,-51.740000000000002
477,3219,-72.500000000000000,-42.579999999999998
478,2456,-72.510000000000005,-51.719999999999999
479,2980,-72.530000000000001,-51.700000000000003
480,2523,-72.540000000000006,-42.049999999999997
481,2099,-72.560000000000002,-53.549999999999997
482,2932,-72.560000000000002,-44.509999999999998
483,3008,-72.569999999999993,-44.500000000000000
484,3005,-72.569999999999993,-44.329999999999998
485,2800,-72.569999999999993,-42.549999999999997
486,3006,-72.599999999999994,-44.380000000000003
487,2519,-72.599999999999994,-42.560000000000002
488,1215,-72.609999999999999,-42.549999999999997
489,2852,-72.620000000000005,-42.549999999999997
490,2877,-72.640000000000001,-42.090000000000003
491,2721,-72.640000000000001,-41.689999999999998
492,33,-72.650000000000006,-41.719999999999999
493,1243,-72.650000000000006,-41.710000000000001
494,1963,-72.659999999999997,-42.479999999999997
495,2219,-72.670000000000002,-44.560000000000002
496,2985,-72.680000000000007,-44.729999999999997
497,2590,-72.689999999999998,-44.729999999999997
498,1225,-72.689999999999998,-44.630000000000003
499,1386,-72.689999999999998,-42.149999999999999
500,1852,-72.689999999999998,-41.719999999999999
501,3185,-72.700000000000003,-53.490000000000002
502,1249,-72.700000000000003,-44.700000000000003
503,2522,-72.700000000000003,-42.170000000000002
504,2878,-72.700000000000003,-42.159999999999997
505,1849,-72.700000000000003,-41.590000000000003
506,2365,-72.709999999999994,-42.149999999999999
507,2293,-72.709999999999994,-42.130000000000003
508,1717,-72.719999999999999,-44.740000000000002
509,1366,-72.719999999999999,-44.670000000000002
510,1242,-72.719999999999999,-44.659999999999997
511,2506,-72.719999999999999,-42.920000000000002
512,1771,-72.719999999999999,-42.909999999999997
513,1851,-72.719999999999999,-42.399999999999999
514,2977,-72.719999999999999,-41.579999999999998
515,1365,-72.730000000000004,-42.479999999999997
516,2265,-72.730000000000004,-42.439999999999998
517,2919,-72.739999999999995,-44.630000000000003
518,2520,-72.739999999999995,-42.430000000000000
519,1977,-72.760000000000005,-42.899999999999999
520,1857,-72.760000000000005,-42.460000000000001
521,1385,-72.780000000000001,-42.359999999999999
