FID,Field1,lon,lat,Island
74,75,-90.930000000000007,-0.990000000000000,0.000000000000000
82,83,-90.980000000000004,-0.960000000000000,0.000000000000000
83,84,-91.260000000000005,-0.250000000000000,0.000000000000000
84,85,-91.200000000000003,-0.250000000000000,0.000000000000000
85,86,-91.319999999999993,-0.340000000000000,0.000000000000000
86,87,-91.280000000000001,-0.240000000000000,0.000000000000000
87,88,-91.219999999999999,-0.330000000000000,0.000000000000000
89,90,-91.500000000000000,-0.090000000000000,0.000000000000000
90,91,-91.269999999999996,-0.250000000000000,0.000000000000000
91,92,-91.260000000000005,-0.390000000000000,0.000000000000000
93,94,-91.480000000000004,-0.600000000000000,0.000000000000000
98,99,-91.150000000000006,-1.160000000000000,0.000000000000000
99,100,-91.420000000000002,-0.780000000000000,0.000000000000000
100,101,-91.439999999999998,-0.790000000000000,0.000000000000000
101,102,-91.340000000000003,-0.720000000000000,0.000000000000000
102,103,-91.349999999999994,-0.730000000000000,0.000000000000000
103,104,-91.400000000000006,-0.770000000000000,0.000000000000000
105,106,-91.150000000000006,-1.080000000000000,0.000000000000000
108,109,-91.010000000000005,-0.500000000000000,0.000000000000000
109,110,-91.030000000000001,-0.520000000000000,0.000000000000000
110,111,-91.390000000000001,-0.660000000000000,0.000000000000000
111,112,-91.010000000000005,-0.580000000000000,0.000000000000000
112,113,-91.329999999999998,-0.620000000000000,0.000000000000000
113,114,-91.290000000000006,-1.020000000000000,0.000000000000000
114,115,-91.170000000000002,-1.050000000000000,0.000000000000000
115,116,-91.079999999999998,-0.600000000000000,0.000000000000000
116,117,-91.319999999999993,-0.690000000000000,0.000000000000000
117,118,-91.239999999999995,-0.400000000000000,0.000000000000000
118,119,-91.370000000000005,-0.260000000000000,0.000000000000000
119,120,-91.560000000000002,-0.050000000000000,0.000000000000000
122,123,-91.290000000000006,-0.370000000000000,0.000000000000000
123,124,-90.890000000000001,-0.990000000000000,0.000000000000000
124,125,-90.870000000000005,-0.740000000000000,0.000000000000000
126,127,-91.129999999999995,-0.800000000000000,0.000000000000000
127,128,-90.959999999999994,-0.960000000000000,0.000000000000000
128,129,-90.900000000000006,-0.860000000000000,0.000000000000000
129,130,-91.099999999999994,-1.160000000000000,0.000000000000000
130,131,-90.909999999999997,-0.910000000000000,0.000000000000000
131,132,-90.810000000000002,-0.810000000000000,0.000000000000000
132,133,-90.900000000000006,-0.920000000000000,0.000000000000000
133,134,-90.879999999999995,-0.870000000000000,0.000000000000000
134,135,-90.939999999999998,-0.990000000000000,0.000000000000000
135,136,-91.540000000000006,-0.470000000000000,0.000000000000000
138,139,-91.450000000000003,-0.260000000000000,0.000000000000000
139,140,-91.329999999999998,-0.720000000000000,0.000000000000000
140,141,-90.959999999999994,-0.950000000000000,0.000000000000000
142,143,-91.349999999999994,-0.240000000000000,0.000000000000000
143,144,-90.969999999999999,-0.960000000000000,0.000000000000000
144,145,-91.000000000000000,-0.970000000000000,0.000000000000000
145,146,-91.230000000000004,-0.390000000000000,0.000000000000000
147,148,-91.329999999999998,-1.080000000000000,0.000000000000000
148,149,-91.390000000000001,-1.030000000000000,0.000000000000000
149,150,-90.959999999999994,-0.910000000000000,0.000000000000000
150,151,-90.900000000000006,-0.830000000000000,0.000000000000000
151,152,-90.950000000000003,-0.990000000000000,0.000000000000000
152,153,-90.810000000000002,-0.830000000000000,0.000000000000000
153,154,-90.819999999999993,-0.930000000000000,0.000000000000000
154,155,-90.989999999999995,-0.950000000000000,0.000000000000000
155,156,-90.849999999999994,-0.820000000000000,0.000000000000000
156,157,-90.879999999999995,-0.950000000000000,0.000000000000000
157,158,-90.840000000000003,-0.890000000000000,0.000000000000000
158,159,-90.810000000000002,-0.990000000000000,0.000000000000000
159,160,-90.989999999999995,-0.860000000000000,0.000000000000000
160,161,-90.969999999999999,-0.900000000000000,0.000000000000000
161,162,-90.890000000000001,-0.950000000000000,0.000000000000000
