FID,Field1,longitude,latitude
73,796,-90.560000000000002,-0.210000000000000
74,840,-90.640000000000001,-0.210000000000000
75,44,-90.670000000000002,-0.210000000000000
76,844,-90.840000000000003,-0.210000000000000
77,240,-90.849999999999994,-0.210000000000000
78,821,-90.879999999999995,-0.210000000000000
79,266,-91.290000000000006,-0.210000000000000
80,10,-91.349999999999994,-0.210000000000000
81,336,-91.379999999999995,-0.210000000000000
82,185,-91.390000000000001,-0.210000000000000
83,214,-91.459999999999994,-0.210000000000000
84,694,-91.540000000000006,-0.210000000000000
85,349,-91.590000000000003,-0.210000000000000
86,693,-91.599999999999994,-0.210000000000000
87,324,-90.280000000000001,-0.220000000000000
88,757,-90.450000000000003,-0.220000000000000
89,98,-90.480000000000004,-0.220000000000000
90,822,-90.519999999999996,-0.220000000000000
91,74,-91.230000000000004,-0.220000000000000
92,6,-91.319999999999993,-0.220000000000000
93,573,-91.340000000000003,-0.220000000000000
94,722,-91.349999999999994,-0.220000000000000
95,604,-91.400000000000006,-0.220000000000000
96,447,-90.409999999999997,-0.230000000000000
97,518,-90.439999999999998,-0.230000000000000
98,138,-90.480000000000004,-0.230000000000000
99,35,-90.500000000000000,-0.230000000000000
100,137,-90.510000000000005,-0.230000000000000
101,791,-90.519999999999996,-0.230000000000000
102,805,-90.560000000000002,-0.230000000000000
103,415,-90.569999999999993,-0.230000000000000
104,746,-90.719999999999999,-0.230000000000000
105,378,-91.200000000000003,-0.230000000000000
106,666,-91.370000000000005,-0.230000000000000
107,525,-91.430000000000007,-0.230000000000000
108,449,-90.450000000000003,-0.240000000000000
109,448,-90.500000000000000,-0.240000000000000
110,636,-90.540000000000006,-0.240000000000000
111,424,-90.579999999999998,-0.240000000000000
112,97,-90.680000000000007,-0.240000000000000
113,777,-90.849999999999994,-0.240000000000000
114,211,-90.859999999999999,-0.240000000000000
115,87,-91.280000000000001,-0.240000000000000
116,661,-91.290000000000006,-0.240000000000000
117,46,-91.329999999999998,-0.240000000000000
118,143,-91.349999999999994,-0.240000000000000
119,569,-91.390000000000001,-0.240000000000000
120,431,-91.459999999999994,-0.240000000000000
121,180,-90.400000000000006,-0.250000000000000
122,393,-90.420000000000002,-0.250000000000000
123,273,-90.430000000000007,-0.250000000000000
124,76,-90.439999999999998,-0.250000000000000
125,50,-90.459999999999994,-0.250000000000000
126,249,-90.500000000000000,-0.250000000000000
127,742,-90.549999999999997,-0.250000000000000
128,3,-90.659999999999997,-0.250000000000000
129,838,-90.700000000000003,-0.250000000000000
130,77,-90.709999999999994,-0.250000000000000
131,85,-91.200000000000003,-0.250000000000000
132,212,-91.209999999999994,-0.250000000000000
133,377,-91.219999999999999,-0.250000000000000
